date,East Midlands,East of England,London,North East,North West,South East,South West,Unknown,West Midlands,Yorkshire and Humber
2022-05-05,,,,,,,,,,
2022-05-06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-12,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-14,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-16,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-05-17,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-05-18,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-05-19,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-20,0.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-05-21,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-22,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-23,0.0,1.0,12.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0
2022-05-24,1.0,1.0,18.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2022-05-25,0.0,0.0,20.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
2022-05-26,2.0,0.0,16.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2022-05-27,0.0,1.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2022-05-28,0.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2022-05-29,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-30,0.0,2.0,20.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0
2022-05-31,1.0,0.0,20.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
2022-06-01,0.0,0.0,20.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0
2022-06-02,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-06-03,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2022-06-04,0.0,0.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2022-06-05,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-06,0.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0
2022-06-07,0.0,1.0,32.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0
2022-06-08,0.0,1.0,8.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0
2022-06-09,2.0,0.0,31.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2022-06-10,0.0,1.0,33.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0
2022-06-11,0.0,1.0,17.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
2022-06-12,0.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
2022-06-13,0.0,2.0,34.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
2022-06-14,1.0,1.0,37.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0
2022-06-15,0.0,1.0,29.0,0.0,3.0,4.0,1.0,0.0,0.0,2.0
2022-06-16,2.0,2.0,51.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0
2022-06-17,0.0,2.0,47.0,0.0,1.0,5.0,1.0,0.0,2.0,0.0
2022-06-18,0.0,3.0,22.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2022-06-19,0.0,1.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-06-20,2.0,3.0,43.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0
2022-06-21,0.0,0.0,47.0,0.0,5.0,5.0,2.0,0.0,1.0,1.0
2022-06-22,0.0,3.0,42.0,1.0,2.0,3.0,4.0,0.0,4.0,0.0
2022-06-23,0.0,0.0,33.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0
2022-06-24,0.0,9.0,49.0,0.0,2.0,6.0,1.0,1.0,2.0,1.0
2022-06-25,0.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2022-06-26,0.0,0.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
2022-06-27,0.0,1.0,48.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0
2022-06-28,1.0,3.0,48.0,2.0,6.0,9.0,3.0,0.0,4.0,0.0
2022-06-29,2.0,1.0,31.0,2.0,5.0,2.0,1.0,0.0,1.0,0.0
2022-06-30,0.0,5.0,45.0,2.0,6.0,4.0,3.0,0.0,3.0,3.0
2022-07-01,0.0,5.0,42.0,1.0,8.0,6.0,0.0,0.0,1.0,0.0
2022-07-02,0.0,1.0,17.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
2022-07-03,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-07-04,2.0,3.0,33.0,0.0,5.0,9.0,1.0,0.0,3.0,1.0
2022-07-05,1.0,0.0,24.0,0.0,6.0,12.0,2.0,0.0,2.0,0.0
2022-07-06,1.0,6.0,33.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0
2022-07-07,0.0,1.0,40.0,1.0,2.0,10.0,2.0,0.0,1.0,3.0
2022-07-08,2.0,2.0,35.0,0.0,5.0,7.0,1.0,1.0,1.0,0.0
2022-07-09,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-07-10,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-07-11,0.0,3.0,42.0,2.0,3.0,10.0,1.0,0.0,2.0,1.0
2022-07-12,2.0,3.0,47.0,0.0,1.0,11.0,1.0,0.0,3.0,3.0
2022-07-13,1.0,3.0,27.0,0.0,1.0,5.0,0.0,0.0,1.0,2.0
2022-07-14,1.0,5.0,40.0,0.0,3.0,2.0,1.0,0.0,5.0,1.0
2022-07-15,1.0,0.0,37.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0
2022-07-16,0.0,2.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
2022-07-17,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
